,AAPL,MSFT,NVDA,TSLA,AMZN,META,GOOGL
2019-06-27,83598800,16557500,445440000,95095500,42834000,11159000,24078000
2019-06-28,124442400,30043000,397668000,102771000,60748000,16378900,33672000
2019-07-01,109012000,22613500,709756000,123201000,63842000,14181800,29196000
2019-07-02,67740800,15237800,400228000,138885000,52918000,9050000,20630000
2019-07-03,45448000,13629300,246636000,213016500,33806000,10246100,20154000
2019-07-05,69062000,18141100,396552000,105985500,52568000,11164100,29794000
2019-07-08,101354400,16779700,329788000,88207500,57668000,9723900,29888000
2019-07-09,82312000,19953100,342860000,92862000,86914000,14698600,29472000
2019-07-10,71588400,24204400,452076000,137185500,98638000,20571700,30710000
2019-07-11,80767200,22327900,682560000,112716000,86356000,13678500,26004000
2019-07-12,70380800,18936800,506392000,138007500,50186000,15366300,21878000
2019-07-15,67789600,16651500,289840000,165001500,59626000,16030300,21164000
2019-07-16,67467200,22726100,341444000,122235000,52364000,12132700,25352000
2019-07-17,56430000,20211000,348204000,146470500,51176000,12083700,19538000
2019-07-18,74162400,30381800,442192000,71379000,69738000,11937900,25450000
2019-07-19,83717200,48992400,344896000,105726000,63712000,12098300,23184000
2019-07-22,89111600,25074900,315940000,102636000,58000000,13589000,28914000
2019-07-23,73420800,18034600,428176000,75346500,54070000,14583700,20648000
2019-07-24,59966400,20738300,366236000,166092000,52626000,32532500,27192000
2019-07-25,55638400,18356900,392700000,336274500,82730000,39889900,54762000
2019-07-26,70475600,19037600,274160000,150415500,98542000,24434000,121216000
2019-07-29,86693600,16605900,248160000,139099500,89864000,16530800,41382000
